name,category,availability,status,primary_url,description
Confident AI,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.confident-ai.com,Confident AI is the AI quality platform built for enterprise platform teams to standardize evals and observability across the org — one consistent bar for how different product teams measure and monitor their AI. Docs
Braintrust,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.braintrust.dev,"Braintrust is an eval-first AI engineering platform with experiments, datasets, a prompt playground, logging, and online scoring using its open-source autoevals scorers."
LangSmith,Full-Stack LLM Evaluation Platforms,commercial,active,https://smith.langchain.com,"LangSmith is LangChain's platform for tracing, dataset-based evaluation, annotation queues, and prompt management; it works with or without the LangChain framework. Docs"
Langfuse,Full-Stack LLM Evaluation Platforms,open-source,active,https://langfuse.com,"Langfuse is an open-source, self-hostable LLM engineering platform with tracing, LLM-as-a-judge and custom evaluations, prompt management, datasets, and dashboards. GitHub"
Arize AX,Full-Stack LLM Evaluation Platforms,commercial,active,https://arize.com,"Arize AX is an enterprise AI observability and evaluation platform; its open-source foundation, Phoenix, is listed separately under observability."
Opik,Full-Stack LLM Evaluation Platforms,open-core,active,https://www.comet.com/site/products/opik/,"Opik, from Comet, is an open-source platform to debug, evaluate, and monitor LLM applications, RAG systems, and agents, with tracing, evaluation metrics, datasets, and dashboards. GitHub"
Galileo,Full-Stack LLM Evaluation Platforms,commercial,active,https://galileo.ai,"Galileo is an enterprise evaluation and observability platform with proprietary evaluation models (e.g., Luna), agent evaluations, guardrailing, and production monitoring."
Patronus AI,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.patronus.ai,"Patronus AI is an automated AI evaluation and testing platform with proprietary evaluators (Lynx for hallucination detection, the Glider judge model), red teaming, and monitoring APIs."
Weights & Biases Weave,Full-Stack LLM Evaluation Platforms,open-core,active,https://wandb.ai/site/weave/,"W&B Weave is a tracing and evaluation toolkit for LLM applications with scorers, comparisons, leaderboards, and production monitoring. GitHub"
Vellum,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.vellum.ai,"Vellum is a platform for building and evaluating LLM workflows with test suites, side-by-side comparisons, and deployment monitoring."
HoneyHive,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.honeyhive.ai,"HoneyHive is an AI observability and evaluation platform with tracing, offline and online evaluators, dataset curation, and human review."
Maxim AI,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.getmaxim.ai,"Maxim AI provides end-to-end simulation, evaluation, and observability for AI agents, including prompt experiments, agent simulation runs, and production quality checks."
Freeplay,Full-Stack LLM Evaluation Platforms,commercial,active,https://freeplay.ai,"Freeplay combines prompt management, evaluation, and observability with human-in-the-loop review workflows for product teams."
Athina AI,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.athina.ai,"Athina AI is a collaborative platform to prototype, evaluate, and monitor LLM applications, with a spreadsheet-style experimentation UI and preset plus custom evals."
Orq.ai,Full-Stack LLM Evaluation Platforms,commercial,active,https://orq.ai,"Orq.ai is a generative AI collaboration platform with built-in experiments, evaluators, guardrails, and deployment management."
Agenta,Full-Stack LLM Evaluation Platforms,open-source,active,https://agenta.ai,"Agenta is an open-source LLMOps platform with a prompt playground, versioning, human and automatic evaluation, and observability. GitHub"
LangWatch,Full-Stack LLM Evaluation Platforms,open-source,active,https://langwatch.ai,"LangWatch is an open-source platform for LLM evaluation, agent simulation testing (Scenario), and observability. GitHub"
Openlayer,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.openlayer.com,"Openlayer provides testing and monitoring for AI systems (LLM and classic ML), with automated tests in CI and production quality alerts."
PromptLayer,Full-Stack LLM Evaluation Platforms,commercial,active,https://www.promptlayer.com,"PromptLayer offers prompt management and evaluation: a visual prompt registry, batch evals, A/B testing, and usage analytics."
Giskard Hub,Full-Stack LLM Evaluation Platforms,open-core,active,https://www.giskard.ai,"Giskard Hub is an enterprise agent-testing platform built on the open-source Giskard library, adding vulnerability scanning, continuous red teaming, and business-failure detection."
Scale GenAI Platform,Full-Stack LLM Evaluation Platforms,commercial,active,https://scale.com,"Scale AI's GenAI platform provides enterprise model evaluation and a data engine, including expert human evaluation and the SEAL leaderboards."
DeepEval,LLM Evaluation Frameworks,open-source,active,https://github.com/confident-ai/deepeval,"DeepEval is an open-source LLM evaluation framework (""Pytest for LLMs"") with 50+ metrics for RAG, agents, multi-turn conversations, safety, and custom criteria, plus CI/CD and benchmark support."
Ragas,LLM Evaluation Frameworks,open-source,active,https://github.com/vibrantlabsai/ragas,"Ragas is an evaluation toolkit for LLM applications, best known for reference-free RAG metrics such as faithfulness, answer relevancy, and context precision/recall. Paper"
promptfoo,LLM Evaluation Frameworks,open-source,active,https://github.com/promptfoo/promptfoo,"promptfoo is a developer-first CLI for testing prompts, models, and RAG/agent applications, with declarative test cases, comparison matrices, CI integration, and red teaming."
OpenAI Evals,LLM Evaluation Frameworks,open-source,active,https://github.com/openai/evals,"OpenAI Evals is OpenAI's original open-source framework and registry of community-contributed evals; the repository is in maintenance mode, and OpenAI's separate hosted Evals product is scheduled for shutdown in late 2026."
openai/simple-evals,LLM Evaluation Frameworks,open-source,active,https://github.com/openai/simple-evals,"simple-evals contains OpenAI's lightweight reference implementations of its reported benchmarks (MMLU, GPQA, SimpleQA, HumanEval, HealthBench, and more)."
lm-evaluation-harness,LLM Evaluation Frameworks,open-source,active,https://github.com/EleutherAI/lm-evaluation-harness,EleutherAI's lm-evaluation-harness is a widely used harness for few-shot LLM benchmarking with hundreds of academic tasks; it powered the Hugging Face Open LLM Leaderboard.
Inspect AI,LLM Evaluation Frameworks,open-source,active,https://github.com/UKGovernmentBEIS/inspect_ai,"Inspect AI is the UK AI Security Institute's framework for LLM evaluations, with solvers, scorers, sandboxed tool use, and agent evals. See also Inspect Evals, a community repository of ready-to-run benchmark implementations. Docs"
HELM,LLM Evaluation Frameworks,open-source,active,https://github.com/stanford-crfm/helm,"HELM (Holistic Evaluation of Language Models), from Stanford CRFM, provides transparent, reproducible, multi-metric model evaluation. Paper"
OpenCompass,LLM Evaluation Frameworks,open-source,active,https://github.com/open-compass/opencompass,OpenCompass is a large-scale evaluation platform supporting 100+ datasets and a wide range of open and API models.
LightEval,LLM Evaluation Frameworks,open-source,active,https://github.com/huggingface/lighteval,"LightEval is Hugging Face's all-in-one LLM evaluation toolkit across multiple backends (transformers, vLLM, inference endpoints); Hugging Face recommends it over the older Evaluate library for LLM work."
Pydantic Evals,LLM Evaluation Frameworks,open-source,active,https://ai.pydantic.dev/evals/,"Pydantic Evals is the evaluation library from the Pydantic team for scoring LLM and agent outputs with datasets, evaluators, and reports. GitHub"
MLflow LLM Evaluate,LLM Evaluation Frameworks,open-source,active,https://mlflow.org/docs/latest/genai/eval-monitor/,MLflow's GenAI evaluation module provides heuristic and LLM-judge metrics integrated with MLflow experiment tracking and tracing. GitHub
NeMo Evaluator,LLM Evaluation Frameworks,open-source,active,https://github.com/NVIDIA-NeMo/Evaluator,"NVIDIA NeMo Evaluator is an open-source platform for scalable, reproducible evaluation of LLMs across popular benchmarks."
Prompt flow,LLM Evaluation Frameworks,open-source,active,https://github.com/microsoft/promptflow,Microsoft Prompt flow is a development suite for LLM apps that includes built-in and custom evaluation flows for quality assessment in CI.
Evidently,LLM Evaluation Frameworks,open-core,active,https://github.com/evidentlyai/evidently,"Evidently is an open-source evaluation and monitoring library for ML and LLM systems with 100+ metrics, test suites, and reports, plus the commercial Evidently Cloud."
TruLens,LLM Evaluation Frameworks,open-source,active,https://github.com/truera/trulens,"TruLens provides evaluation and tracking for LLM apps using feedback functions, and originated the ""RAG triad"" (context relevance, groundedness, answer relevance)."
OpenEvals,LLM Evaluation Frameworks,open-source,active,https://github.com/langchain-ai/openevals,"OpenEvals is LangChain's collection of ready-made evaluators for correctness, conciseness, hallucination, and structured output."
Evalite,LLM Evaluation Frameworks,open-source,active,https://github.com/mattpocock/evalite,"Evalite is a TypeScript-native eval runner built on Vitest that treats evals as tests, with a local UI."
Giskard,LLM Evaluation Frameworks,open-source,active,https://github.com/Giskard-AI/giskard-oss,"Giskard is an open-source testing library for LLM agents and ML models with automatic vulnerability scanning for hallucination, bias, and injection."
EvalScope,LLM Evaluation Frameworks,open-source,active,https://github.com/modelscope/evalscope,EvalScope is ModelScope's framework for LLM/VLM/AIGC evaluation and inference performance benchmarking.
OLMES,LLM Evaluation Frameworks,open-source,active,https://github.com/allenai/olmes,"OLMES is AI2's reproducible standard for LLM evaluations, used for the OLMo and Tülu model reports."
Eureka ML Insights,LLM Evaluation Frameworks,open-source,active,https://github.com/microsoft/eureka-ml-insights,"Eureka ML Insights is Microsoft's framework for standardized, reproducible evaluation of large foundation models."
Weave Evaluations,LLM Evaluation Frameworks,open-source,active,https://github.com/wandb/weave,"Weave Evaluations is W&B Weave's code-first evaluation harness with scorers, datasets, and model comparisons."
LLM Comparator,LLM Evaluation Frameworks,open-source,active,https://github.com/PAIR-code/llm-comparator,"LLM Comparator, from Google's PAIR team, is an interactive tool for side-by-side analysis of LLM evaluation results."
Parea,LLM Evaluation Frameworks,open-source,active,https://github.com/parea-ai/parea-sdk-py,Parea's SDK provides experiment tracking and evaluation for LLM applications.
continuous-eval,LLM Evaluation Frameworks,open-source,active,https://github.com/relari-ai/continuous-eval,"continuous-eval, from Relari, offers data-driven, modular evaluation for LLM pipelines with metric ensembles. Repository activity has slowed since early 2025."
Phoenix Evals,LLM Evaluation Frameworks,open-source,active,https://github.com/Arize-ai/phoenix,"Phoenix Evals is Arize Phoenix's evaluation library with pre-tested LLM-judge templates for hallucination, relevance, toxicity, and more."
UpTrain,LLM Evaluation Frameworks,open-source,active,https://github.com/uptrain-ai/uptrain,UpTrain is an open-source tool to evaluate and improve LLM applications with 20+ preconfigured checks. Repository activity has slowed since 2024.
AlpacaEval,LLM Evaluation Frameworks,open-source,active,https://github.com/tatsu-lab/alpaca_eval,"AlpacaEval is a fast, inexpensive, replicable LLM-based automatic evaluator for instruction-following models."
Evalchemy,LLM Evaluation Frameworks,open-source,active,https://github.com/mlfoundations/evalchemy,"Evalchemy, from ML Foundations, is a unified toolkit for running many popular benchmarks against any model."
Evaluate,LLM Evaluation Frameworks,open-source,active,https://github.com/huggingface/evaluate,"Hugging Face Evaluate is a library of standard NLP/ML metrics (BLEU, ROUGE, BERTScore) with a unified API; it is in maintenance mode, with LightEval recommended for new LLM evaluation work."
